pair,EIP,MCSE,pT1,tau_med,tau_lo,tau_hi,p_tailfam,p_lamLpos,kap_med,kap_lo,kap_hi,modalD,modalD_p,fams
Memory-FDG,1.0,0.0,0.855,0.3136905184405723,0.1761077900660588,0.3490896630816108,1.0,1.0,0.47553029523149,0.4215662037006004,0.5301476298828578,(),0.855,"clayton:0.88, gumbel:0.05, joe:0.04"
Memory-Amyloid,1.0,0.0,0.873,0.2854728765020393,0.1512869875117413,0.351025252547291,0.5738831615120275,0.5738831615120275,0.3640526393059839,0.0,0.441861382955793,(),0.873,"clayton:0.48, frank:0.36, gaussian:0.12"
Memory-Hippocampus,1.0,0.0,1.0,0.3795506773055278,0.3436431786258683,0.4127414351070512,0.012,0.012,0.0,0.0,0.0,(),1.0,"frank:0.98, gumbel:0.01, gaussian:0.01"
Thalamus-Hippocampus,1.0,0.0,1.0,0.3549270880276656,0.3188479826600711,0.3895190448625045,0.017,0.016,0.0,0.0,0.0,(),1.0,"gaussian:0.78, frank:0.20, gumbel:0.02"
APOE4-Amyloid,1.0,0.0,0.997,0.2492878507241526,0.2106671889886485,0.2861408273164434,0.0010030090270812,0.0010030090270812,0.0,0.0,0.0,(),0.997,"frank:1.00, gumbel:0.00"
ExecFun-Memory,1.0,0.0,1.0,0.4719552282471811,0.4310587085998953,0.5075215713547512,0.36,0.36,0.0,0.0,0.558373962767582,(),1.0,"gaussian:0.64, bb1:0.21, gumbel:0.08"
Caudate-Putamen,1.0,0.0,1.0,0.3764907991400184,0.3357560384157326,0.4097581993807627,0.03,0.018,0.0,0.0,0.0,(),1.0,"gaussian:0.63, frank:0.34, gumbel:0.01"
Age-Hippocampus,0.993,0.0026377941462437,0.988,0.2783860747374898,0.2402082244628121,0.3137719627223593,0.0151821862348178,0.0,0.0,0.0,0.0,(),0.9949647532729105,"frank:0.85, gaussian:0.14, gumbel:0.01"
PCC-Precuneus,0.954,0.0066278147173806,0.604,0.267471873117455,0.1302864783484105,0.3204621553633684,0.4983443708609271,0.4983443708609271,0.0,0.0,0.3858334523517949,(),0.6331236897274634,"gaussian:0.40, gumbel:0.28, clayton:0.24"
Education-ExecFun,0.778,0.0131487219488773,0.757,0.1471151984759997,0.104204477927174,0.1872835063799205,0.0911492734478203,0.083223249669749,0.0,0.0,0.0698804363764505,(),0.9730077120822622,"gaussian:0.52, frank:0.38, clayton:0.09"
Sex-Thalamus,0.771,0.0132941993266136,0.721,0.1631928295700739,0.0873411493912774,0.1997212231864329,0.0166435506241331,0.0124826629680998,0.0,0.0,0.0,(),0.9351491569390402,"frank:0.92, gaussian:0.04, clayton:0.02"
Sex-Hippocampus,0.688,0.014658474370509,0.065,0.0681167991965484,0.0444004487362414,0.1523695793035909,0.0615384615384615,0.0,0.0,0.0,0.0,"('Thalamus',)",0.7456395348837209,"frank:0.44, clayton:0.32, gaussian:0.10"
Sex-Memory,0.23,0.013314551335936,0.101,0.1242408199630404,0.0579072905055892,0.1809581528730072,0.1188118811881188,0.0,0.0,0.0,0.0,(),0.4391304347826087,"frank:0.86, clayton:0.10, gumbel:0.03"
Age-Memory,0.189,0.0123867845881177,0.0,0.0535739301919075,-0.0735772179362155,0.0840620467183292,0.0,0.0,,,,"('Hippocampus',)",0.6349206349206349,"joe:0.42, clayton:0.18, student:0.15"
Sex-ExecFun,0.079,0.0085341567733333,0.0,-0.0733313351480523,-0.1062928501793876,0.0649992278872722,0.0,0.0,,,,"('Memory',)",0.7088607594936709,"frank:0.44, gaussian:0.25, clayton:0.14"
Sex-Precuneus,0.007,0.0026377941462437,0.0,-0.055288273110568,-0.0720902598023239,0.0785254397565172,0.0,0.0,,,,"('Hippocampus', 'Memory')",0.5714285714285714,"clayton:0.43, frank:0.29, gaussian:0.14"
Sex-PCC,0.004,0.0019969947390987,0.002,0.0984279103437008,0.057450216480788,0.1500789912595043,0.0,0.0,0.0,0.0,0.0,(),0.5,"frank:0.50, gaussian:0.25, gumbel:0.25"
