"a","b","EIP","pcor"
"Age","ExecFun",1,-0.149380990807946
"Age","APOE4",1,-0.234384711023953
"Age","Hippocampus",1,-0.227395490224824
"Age","Caudate",1,0.208551182489914
"Sex","Education",1,-0.205639736725098
"Sex","Memory",1,0.197688007686527
"Sex","Thalamus",1,0.207371437035009
"Memory","ExecFun",1,0.518779438996934
"Memory","Amyloid",1,0.172948814120239
"Memory","Hippocampus",1,0.224210969301021
"APOE4","Amyloid",1,-0.371406956644214
"Amyloid","FDG",1,0.25095130452692
"Hippocampus","Putamen",1,0.188916886768194
"Hippocampus","Thalamus",1,0.290014145102857
"Hippocampus","PCC",1,0.198748030605254
"Caudate","Putamen",1,0.504880454355867
"Putamen","Thalamus",1,0.156274238212433
"Putamen","Precuneus",1,0.198016465837491
"PCC","Precuneus",1,0.294548189768995
"Age","FDG",0.99,0.185541706797376
"FDG","Precuneus",0.98,0.155090553014603
"Education","ExecFun",0.96,0.167528800013396
"Age","Amyloid",0.94,-0.147775902379345
"Age","Putamen",0.94,-0.136575654205048
"Age","Thalamus",0.92,-0.129337846422011
"Memory","APOE4",0.92,-0.134931469873431
"FDG","Hippocampus",0.92,0.12932224248765
"Sex","Amyloid",0.88,-0.133964148587623
"ExecFun","Precuneus",0.88,0.137708407238925
"Memory","FDG",0.85,0.138292522419733
"Sex","Caudate",0.75,0.109146320619417
"Education","Caudate",0.75,-0.0850393256122249
"ExecFun","FDG",0.6,0.0833243123265458
"Sex","ExecFun",0.48,-0.0624870055187581
"Putamen","PCC",0.44,0.0466994565996232
"Memory","Precuneus",0.32,0.0387990570827901
"APOE4","Hippocampus",0.23,-0.0228285440967508
"Sex","APOE4",0.19,0.0190326753962613
"Sex","Putamen",0.19,-0.0207380689311637
"Education","Memory",0.17,0.0160478399189659
"ExecFun","Hippocampus",0.15,-0.0129875744036064
"APOE4","Precuneus",0.15,0.0152914573087895
"Sex","Hippocampus",0.14,0.0138440448013942
"Hippocampus","Caudate",0.13,-0.0114187851466443
"Age","Sex",0.12,-0.0131577840006504
"Amyloid","Hippocampus",0.1,0.0101787971091032
"Sex","PCC",0.09,0.00620165693339091
"Education","Hippocampus",0.08,-0.0041749203841051
"FDG","PCC",0.08,0.00678077475618086
"Hippocampus","Precuneus",0.08,0.00659244835425981
"Caudate","PCC",0.08,0.00627852688906357
"Education","APOE4",0.07,-0.00196603317283995
"APOE4","FDG",0.07,-0.0083038267808673
"APOE4","Caudate",0.06,0.00382325831162849
"Thalamus","Precuneus",0.06,0.00405560246605877
"ExecFun","Caudate",0.04,-0.00188803392688434
"Age","Education",0.03,-0.00158721351719773
"Age","Precuneus",0.03,-0.00253048072582379
"Sex","Precuneus",0.03,-6.26803454298579e-05
"Education","Amyloid",0.03,-0.000860943568089813
"Education","Putamen",0.03,-0.000939298835939239
"Education","Thalamus",0.03,0.00128827734883255
"Education","PCC",0.03,-0.000945708241801598
"ExecFun","Putamen",0.03,-0.00126834495106578
"Caudate","Thalamus",0.03,-0.00266633800832472
"Sex","FDG",0.02,0.000503028116639642
"Education","FDG",0.02,-2.83764786967334e-05
"Education","Precuneus",0.02,0.000382848556890203
"ExecFun","APOE4",0.02,-0.000370941765890446
"APOE4","Putamen",0.02,0.000397650709954029
"APOE4","Thalamus",0.02,0.000218441792861678
"APOE4","PCC",0.02,9.53561219087744e-05
"FDG","Caudate",0.02,-0.00076446788500249
"Age","Memory",0.01,1.70297225713092e-05
"Age","PCC",0.01,0.000147828394993192
"Memory","Caudate",0.01,-0.000539050637282089
"Memory","Putamen",0.01,-0.000221068587993526
"Memory","Thalamus",0.01,-0.000384949357865368
"Memory","PCC",0.01,5.42569827169961e-05
"ExecFun","Amyloid",0.01,-4.13667071176958e-05
"ExecFun","Thalamus",0.01,-6.01235578926757e-05
"ExecFun","PCC",0.01,0.000103744390786967
"Amyloid","Caudate",0.01,-0.000279086160434169
"Amyloid","Putamen",0.01,0.000273259724350951
"Amyloid","Thalamus",0.01,0.000158231761259851
"Amyloid","PCC",0.01,0.000492994146667322
"Amyloid","Precuneus",0.01,0.000516922163942487
"FDG","Putamen",0.01,-0.000137899402640693
"FDG","Thalamus",0.01,-0.000504837078508708
"Caudate","Precuneus",0.01,6.15875371609638e-06
"Thalamus","PCC",0.01,-9.04806648835647e-05
