analisis,pair,n,fam,tau,lamL,dBIC,vuong,p,LLobs,URobs,ratio,LLgauss,z_gauss
agrupado,Memory-FDG,630,clayton,0.3160645798774544,0.47238819521533915,58.09072411456938,3.7227573864591053,0.0001970588574933263,12.380952380952381,6.190476190476191,2.0,8.446837861340894,3.5508597501860115
rangos intra-estrato,Memory-FDG,630,student,0.14240594835248843,0.08267930141484049,6.143354170929928,0.8233443381968869,0.41031220654183675,6.190476190476191,6.190476190476191,1.0,5.879515758629195,0.3317894325275321
agrupado,Memory-Amyloid,630,clayton,0.26810301593348834,0.38824660765799107,7.428707845797618,0.5551789696437154,0.5787722520831691,10.158730158730158,5.396825396825397,1.8823529411764706,7.713020811651483,2.300873017957442
rangos intra-estrato,Memory-Amyloid,630,frank,0.17512381072575467,0.0,0.0,,,6.984126984126984,5.079365079365079,1.375,6.342929282608633,0.6603086882406107
agrupado,PCC-Precuneus,630,gaussian,0.2907289402450892,0.0,0.0,,,8.88888888888889,7.142857142857142,1.2444444444444445,8.057095803261394,0.7670739035763493
rangos intra-estrato,PCC-Precuneus,630,gaussian,0.2495564846396368,0.0,0.0,,,7.142857142857142,6.507936507936509,1.097560975609756,7.433926832784543,-0.27850448703355296
CN+EMCI,Memory-FDG,405,clayton,0.12388486708628907,0.08620973133195703,10.510929611797216,1.7665216492500762,0.07730837278203917,7.160493827160494,5.432098765432099,1.3181818181818181,5.6219650104515235,1.3441681854006344
CN+EMCI,Memory-Amyloid,405,clayton,0.14288615353948306,0.12506158547277693,2.77863316456601,0.464530905112719,0.6422674226880236,7.160493827160494,4.444444444444445,1.6111111111111112,5.8862404273638536,1.089526386834068
CN+EMCI,PCC-Precuneus,405,gaussian,0.19868457266040077,0.0,0.0,,,7.4074074074074066,6.172839506172839,1.2,6.682973632532796,0.5837956870587626
LMCI+AD,Memory-FDG,225,gaussian,0.3833082806159152,0.0,0.0,,,8.0,9.333333333333334,0.8571428571428571,9.502214394524932,-0.7684078438118854
LMCI+AD,Memory-Amyloid,225,frank,0.316954139299652,0.0,0.0,,,7.111111111111111,9.777777777777779,0.7272727272727272,8.460604620098843,-0.7273732731716025
LMCI+AD,PCC-Precuneus,225,gaussian,0.3599951996880593,0.0,0.0,,,9.777777777777779,8.0,1.2222222222222223,9.133052346249382,0.335702918810537
